Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
53,امرات,وفي,والخمسون,وامرات,سوره,المعارج,مواضع,المدثر,وفيها,ثنتان,72,66,46,Citation of Qur'anic Suras - including Noah - particularly quotation of al-Tahrim 8
54,يضع,حديثه,الحديث,متروك,مجهول,معين,منكر,ليس,بشي,وقال,72,66,29,
55,الجاريه,لنجعلها,حملناكم,تذكره,طغي,وتعيها,واعيه,اذن,اباكم,الما,69,65,50,
56,مثاكيل,صيابه,النوب,ومستشحجات,الرمه,بالفراق,كانها,فنح,مناحه,شحج,69,69,27,
57,الشفاعه,القيامه,فيقول,الصراط,ثم,اخرهم,سيد,عيسي,يمينك,الشفعا,68,65,44,
58,عبدين,مثلا,كانتا,فخانتاهما,عبادنا,للذين,صالحين,ضرب,كفروا,تحت,67,64,64,
59,ذريه,هدينا,ذريته,ويعقوب,وممن,كلا,ونوحا,واسرايل,حملنا,وهدينا,66,65,46,
60,الفرس,ملك,افريدون,بابل,ملوك,الطوفان,كيومرث,الضحاك,كيومرت,مصر,65,62,35,Descendants of Noah - with a focus on those who populate Persia
61,جعلكم,واذكروا,خلفا,لينذركم,وزادكم,جاكم,فاذكروا,منكم,بسطه,لعلكم,64,58,52,
62,النجاشي,عقده,رجال,التوثيق,الثقه,الفهرست,الشيخ,عنونه,العباس,الخلاصه,64,60,16,
63,اهله,ليس,اهلك,البعض,اهلي,الفضيحه,النسخ,انه,الجاهلين,فراشه,63,63,50,
64,الثقات,حبان,وعنه,روي,اياس,وذكره,معيقيب,قيس,يزيد,ذكره,63,60,22,
65,وانهاك,اوصيك,امرك,لابنه,اخبركم,كفه,بوصيه,باثنتين,ابنه,اله,62,58,46,
66,وكيع,عيينه,رايت,ورايت,الثوري,سمعت,عيناي,ومعمرا,ومالكا,شعبه,61,57,29,
67,ياجوج,وماجوج,الترك,يافث,القرنين,السد,اجيج,قبيلتان,وهما,لكثرتهم,61,61,53,
68,تذرن,عكفوا,قبورهم,ونسرا,ماتوا,سواعا,الهتكم,ويعوق,ودا,تماثيلهم,60,59,24,
69,فكانت,لكلب,لهذيل,لهمدان,بدومه,ود,الجندل,سواع,يعوق,واما,59,57,56,
70,الاوتاد,وفرعون,الايكه,الاحزاب,فحق,واصحاب,عقاب,ذو,جند,مهزوم,58,55,53,
71,ترجون,الرجا,وقارا,تخافون,الخوف,يرجون,لله,عظمه,يخافون,لقانا,58,57,36,
72,الدين,الكرادي,الاشقر,قضا,القاهره,خليل,الحنفي,الشيخ,مشيخه,كرك,57,55,28,
73,انذره,يقله,باعور,فاثني,ساقول,قولا,اعور,نبي,الدجال,تعلمون,57,57,41,
74,المعتز,وصيف,مخلد,طاهر,اسرايل,الافشين,المعتصم,قبيحه,صالح,اصحابه,57,53,27,
75,يغضب,نفسي,اذهبوا,مثله,تري,نهاني,غضبا,فعصيته,غضب,بلغنا,57,54,53,
76,بكتابه,بطه,كتاب,كوفي,اخبرنا,حمزه,حدثنا,يرويه,الصفار,نوادر,57,52,3,
77,جش,ثقه,جخ,كوفي,كش,المهمله,مولي,القمي,المعجمه,يكني,55,51,16,
78,ونساهم,ثمانيه,وبنوه,كانوا,وحام,ويافث,الثلاثه,بنين,امن,وثلاثه,55,50,42,
79,الريان,فرعون,عملاق,لاوذ,مصعب,عمليق,قاران,الوليد,علوان,سام,55,52,31,Descendants of Noah - more general - focus on rulers in regions
80,تخلف,ركبها,نجا,كسفينه,بيتي,غرق,عنها,وهوي,فيكم,اهل,54,50,34,Hadith - popular with Shi'i authors? - comparing ahl bayt to Noah's ark - no of quotes from Mu'ayyad in Majalis and one in Diwan
81,بمكيال,الخزان,طغي,قطره,عتت,الريح,ريح,الما,حملناكم,ويوم,52,49,38,
82,دعوتهم,واستكبروا,استكبارا,واصروا,اذانهم,لتغفر,دعاي,كلما,واستغشوا,ثيابهم,52,46,40,
83,كارهون,ارايتم,انلزمكموها,تنته,فعميت,لن,واتاني,وانتم,توليتم,اعرضتم,52,52,38,Discussion of Noah in works of Tafsir
84,وسلم,صلي,رسول,حدثنا,هريره,نافع,النبي,ثنا,قيس,عن,52,51,37,
85,حوشبا,يمل,يعمر,نفعها,تر,يبني,بقيله,امسي,وامر,لبني,52,52,43,
86,خمسين,سنه,الف,عاما,قرون,وبين,فلبث,والقرن,وخمسين,قومه,52,50,43,
87,فالتي,والنار,الجنه,انذركم,اعور,يجي,الدجال,احدثكم,انذر,واني,52,50,49,
88,بعثنا,ليمنوا,قومهم,رسلا,فجاوهم,كذبوا,بالبينات,نطبع,المعتدين,قلوب,51,48,39,
89,وللممنين,اغفر,ولوالدي,والممنات,ولمن,ممنا,لي,دخل,رب,لذنبك,51,51,44,
90,اعوذ,بك,علم,وترحمني,اسالك,لي,اكن,الجاهلين,تغفر,الخاسرين,49,48,41,
91,حنيفه,ورواه,مسنده,واخرجه,رضي,اخرجه,عن,ابي,البخاري,خسرو,49,47,6,
92,والتعديل,رقم,الجرح,الصفحه,بنو,الرحمن,قبر,ومات,جبرايل,الرقم,49,49,36,
93,فاتقوا,واطيعون,اخوهم,اجر,اجري,تتقون,امين,المرسلين,اسلكم,اسالكم,48,48,41,
94,الصالح,يلد,ادريس,نبيا,جد,المرخون,لكان,مرحبا,ادري,نبي,48,46,33,Noah and prophetic genealogy
95,افواههم,فردوا,جاتهم,ياتكم,كفرنا,تدعوننا,ارسلتم,يعلمهم,مريب,ايديهم,48,45,41,
96,لمشهد,احدكم,شهده,يغبر,وجهه,العاشر,ولو,عمل,يمينا,افضل,48,43,38,
97,اخاف,التناد,تولون,مدبرين,يضلل,للعباد,ظلما,داب,اهديكم,الرشاد,48,47,45,
98,اجرامي,واوحي,تجرمون,بري,افتريته,تبتس,فعلي,يفعلون,يمن,افتراه,48,45,43,Discussion of Noah's story - mostly in Tafsir
99,سميت,الشام,شام,شاما,بسام,سمي,وسود,بالسريانيه,الكعبه,وشام,47,46,42,
100,النبيين,ميثاقهم,ومنك,واخرهم,اخذنا,البعث,واذ,الميثاق,ورات,نبوتك,46,42,38,
101,حمد,الحمد,شكورا,عبدا,اكل,ثوبا,لبس,واذا,شرب,لله,46,41,35,
102,الكلاع,وذمه,عيالي,فقال,قتالكم,قتالنا,ذو,سيما,عندنا,عمار,46,33,23,
103,جزا,كفر,فعلنا,لمن,تركناها,باعيننا,تجري,بمراي,ثوابا,باعين,46,46,44,
