Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
370,انشدني,يمدح,لنفسه,القاموسا,الدين,وانشدني,مجد,الكامل,الامير,قصيده,58,57,33,
371,السبت,فابوا,تفرغوا,الجمعه,اختلفوا,بالجمعه,تعملوا,يتفرغوا,عيدا,للعباده,57,55,50,
372,وبندار,واسحاق,ويحيي,خيثمه,وابو,وابنا,وعمرو,وخلق,واحمد,اقرانه,57,57,7,
373,الاقربين,عشيرتك,وانذر,انقذوا,فعم,وخص,قريشا,فاجتمعوا,انفسكم,نزلت,57,47,39,
374,حيويه,الفهم,معروف,الباقي,الجوهري,انبانا,عبدالباقي,لقرابتهما,بفريضه,سبره,57,57,4,
375,اغمي,سلق,حلق,تصيح,وسلق,يحدثها,فبكوا,وخرق,برنه,تعلمي,57,50,43,
376,معاني,تفسير,الوجيز,الكشاف,اعراب,المسير,القراات,لاحكام,المحيط,للزجاج,57,57,16,
377,وعجوز,عظامه,فاحمل,فانتهي,الدواب,ضانه,وراعيها,احتكمت,الاعرابي,احزم,57,54,41,
378,مرتين,جاوبته,ريته,وكلامه,قسم,فكبر,وراه,راي,شعري,فكلم,57,55,42,
379,والطاعون,بالطعن,الطعن,فنا,وخز,عرفناه,الطاعون,اعداكم,الجن,علاقه,57,52,40,
380,بمنزله,مولاه,مني,بعدي,واصحها,تبوك,ترضي,فعلي,انت,واله,57,51,47,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
381,نارا,بقبس,امكثوا,انست,اتاك,اتيكم,لاهله,وهل,واخفي,اجد,57,56,55,
382,المخاط,يكف,الخد,الحجام,حك,بطعن,حدثاه,بالحصي,مضجعه,يكترث,57,57,13,
383,اضر,باخرته,بدنياه,فاثروا,اخرته,يفني,دنياه,احب,يبقي,المطلب,57,55,53,
384,ونجيناهما,مننا,ونصرناهم,وقومهما,المستبين,واتيناهما,الكرب,وهديناهما,الصافات,وتركنا,56,48,42,
385,الهرج,ويكثر,الجهل,والهرج,اياما,القتل,وينزل,ويرفع,فيهن,الساعه,56,46,39,
386,القسملي,ظلال,البكراوي,يكتب,منين,سيار,سمعت,حديثه,ادم,رفعت,56,53,38,
387,تدعون,اصم,اربعوا,غابا,سميعا,فانكم,انفسكم,علونا,اصواتهم,كبرنا,56,53,49,
388,خياط,الثقفي,التستري,خليفه,زكريا,خوات,شباب,فهر,اهيب,المعطل,56,52,7,
389,كلبك,ارسلت,تاكل,الصيد,فكل,المعلمه,رميت,سهمك,يومين,وسميت,56,51,31,
390,طهمان,العلوي,حامد,حفص,دثنا,فاكرموه,الشرقي,يتعلمه,النصراباذي,الزار,56,54,29,
391,الاسرايلي,لغوي,بالامس,يبطش,يستصرخه,استنصره,اتريد,تقتلني,بالقبطي,مبين,56,52,48,
392,خاتما,فصه,ورق,كفه,فضه,ونقش,اتخذ,ذهب,فص,لبسه,56,51,36,
393,الاب,الاخوه,ترث,الجد,الجده,يحجب,والاخوات,وابنها,وعمران,يحجبها,56,56,38,
394,الكديمي,شاهين,رزقويه,الحربيين,وبشر,وثلاثماه,الثلاج,واحمد,شاذان,الكجي,55,55,12,
395,يهديكم,عطس,بالكم,ويصلح,يتعاطسون,يرحمكم,فشمتوه,تشمتوه,يحمد,يرحمك,55,54,44,
396,قارورتين,فارقه,يحكي,قاروره,شبل,ينام,اعطاه,ملكا,المنبر,يحتفظ,55,54,49,
397,ويتلوه,شاهد,اماما,قبله,ورحمه,ويتلو,البرهان,متما,بصحته,يتلوه,55,52,47,
398,لواحد,ادعيا,نصفين,رجلين,منهما,بعيرا,اختصما,بينهما,فقضي,بينه,55,50,38,
399,عباتان,قطوانيتان,الروحا,سبعون,الخيف,سجاسج,نبيا,ليف,بخطام,مخطوم,55,52,39,
400,وبسماع,الدين,وسبعماه,الحجار,بسماعه,جز,بسماع,وسمع,القطبي,خطيب,55,52,23,
401,نقاتل,عسيتم,تقاتلوا,ابعث,لنبي,تر,سبيل,الملا,القتال,ملكا,55,55,53,
402,فعملوا,استاجر,عملا,واليهود,يعملون,والنصاري,كمثل,قوما,اجرك,معلوم,54,52,38,
403,مكحول,مسهر,شباب,والعلا,وسيد,فيزيد,مكحولا,اعلي,دحيم,لفقهه,54,44,18,
404,مولاه,والاه,عاداه,فعلي,واخذل,بمنزله,مني,وانصر,بعدي,خذله,54,49,40,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
405,تذبحوا,يامركم,اتتخذنا,هزوا,بقره,الجاهلين,وموعظه,للمتقين,لقومه,اعوذ,54,47,53,
406,فتدلي,سدره,ودنا,سماهم,المنتهي,اظن,يعلمه,العزه,بتفضيل,السابعه,54,53,49,
407,عبدنا,الحوت,ستلقاه,ملا,السبيل,فسال,لقيه,فقدت,شانه,تعلم,54,52,40,
408,ركعتين,اصلي,صلينا,رحالنا,بمكه,نصرخ,اربعا,الطفاوي,رجعنا,اصل,54,53,42,
409,ايقن,عجبت,وعجبت,عبرا,يفرح,بالموت,لمن,وتقلبها,بزمانه,للسانه,54,53,49,
410,عشرون,عدد,لقوله,صابرون,خصهم,بعدد,بخبرهم,لحصول,اتبعك,واختار,54,51,48,
411,الخاص,الامير,الناصر,ناظر,الجيش,النشو,السلطان,ناب,حلب,التاج,54,53,22,
412,الصالحي,البرتي,الصيرفي,الصفار,الاعمش,الثوري,حذيفه,نا,انا,تمتام,54,52,7,
413,اتستبدلون,وعدسها,وفومها,وبصلها,بقلها,وقثاها,تنبت,نصبر,فادع,مصرا,54,46,46,
414,تعدد,موضعه,واخرجه,اخرجه,غيره,مواضع,وعن,اللباس,وفيه,بندار,54,54,4,
415,مهمل,مهملا,والثالث,واقفي,الرجال,السند,سيابه,موثق,والسابع,مشترك,53,50,8,
416,وا,ببكا,الميت,واجبلاه,باكيهم,جبذ,يلهزانه,الناحه,يعذب,فيقوم,53,48,40,
417,يخرجاه,الشيخين,شرط,صحيح,انبا,الاسناد,مهران,بسم,المدثر,الصفار,53,51,4,
418,فناسب,المخاطبه,المحن,وخطاب,يعدد,فعددها,كقوله,محسوس,والمستعار,بالواو,53,52,34,
419,صوف,وكمه,وسراويل,ذكي,جلد,حمار,وكسا,جبه,ونعلاه,ونعلان,53,50,47,
420,الغني,مقاتل,الضحاك,النور,جريج,الصنعاني,سهل,عطا,عباس,بالافك,53,49,19,
421,فحدثنا,قرات,البزي,فارس,قنبل,شبل,ذكوان,قالون,الحرف,بميت,53,47,23,
422,فاستفتح,عرج,جبريل,معك,ففتح,فرحب,بعث,السابعه,السادسه,بخير,53,49,44,
423,ارسلتني,صكه,عينه,الموت,متن,ففقا,ارجع,جاه,فرد,فرجع,53,52,48,
424,وركوع,وسجود,باطول,خسفت,فزعا,فقام,يخشي,قيام,يفعله,رايته,53,52,53,
425,اصطفي,البشر,كرهه,فسمعه,اظهرنا,فلطم,والذي,يهودي,يعرض,سلعته,53,51,43,
426,بيروت,تحقيق,دار,الاسلامي,لبنان,التراث,صادر,العلميه,المعارف,القاهره,52,50,39,
427,والساحل,حضرموت,وعدن,صنعا,الجند,لبيد,كنده,زبيد,ورمع,وولي,52,49,41,
428,عاده,الاستبدال,اساسه,والتحزين,ضرورتهما,التنديم,واستطراف,استغراب,انتهازا,والبدو,52,51,33,
429,بالحجر,ضربا,وطفق,ثوبه,فطفق,ندبا,الحجر,سبعه,سته,نظروا,52,50,46,
430,وابا,ومحمد,وروح,وبشر,الدوري,ويحيي,واقرانهم,والحسن,وقبيصه,وقرادا,52,52,16,
431,شاذويه,دثنا,القومساني,المواقعه,طالقان,الملاعبه,موكل,ممان,الدارسي,يبتسم,52,47,30,
432,التهذيب,والتهذيب,والمثبت,الاصل,الكمال,حاشيه,تهذيب,خطا,تحريف,التقريب,52,45,7,
433,السبتي,عياض,وارشاد,الشفا,المختصر,وايضاح,المتوفي,مصنفاته,الفحول,المدارك,52,51,42,
434,وبنحو,التاويل,اسباط,السدي,قلنا,البقره,تاويل,تصدقوا,مواخر,ملاقو,52,52,2,
435,القام,ولدي,قسطا,ملت,وعدلا,وظلما,جورا,لقلعها,صخورها,لتدكدكت,52,49,33,
436,اسباط,السدي,خبر,الهمداني,وعن,مره,ناس,ذكره,ابليس,صالح,52,49,3,
437,والاخ,الصالح,بالنبي,مرحبا,مررت,بادريس,بعيسي,السادسه,مر,ورسول,52,50,48,
438,وفاه,حجي,الحسباني,ومولده,فاضلا,عالما,وسبعمايه,ودرس,وبرع,الشهاب,52,52,16,
439,وتمام,الفتوه,عكاف,مغفرتك,رضوانك,دحض,ككسره,فوجا,تتجافي,بسر,52,49,43,
440,الوفاه,الاصبهاني,ريذه,توفي,المديني,الصالحاني,السمعاني,واربعماه,المعدل,الواعظ,52,52,3,
441,والمثبت,النهايه,وعزيت,للهروي,عزيت,اضافه,سقط,الغريبين,اضافته,الاثير,51,46,8,
442,تليد,مقدام,الرعيني,املا,الشاهد,منير,البغدادي,قراه,اسد,اسمع,51,36,5,
443,وغير,وبندار,وشعبه,اخرج,موضع,المسندي,الحنظلي,والثوري,مولاهم,وعبيد,51,49,6,
444,استاذنوا,فلنترك,اختنا,رجالا,فداه,فدا,الانصار,اذن,فقالوا,لابن,51,50,30,
445,ببشاره,حبط,المره,ولكنك,عظيمه,فرجع,صوت,فقل,عمله,اذهب,51,50,37,
446,سعله,فركع,العابدي,الساب,فاستفتح,حاضر,اخذت,الصبح,فحذف,بمكه,51,47,44,
447,يكفيني,دواخلك,وتفجع,بالمطمن,لافسح,ظواهرك,فيدعو,المداني,يسبحانك,تقدمون,51,48,28,
448,داعي,قومنا,حضروه,صرفنا,انصتوا,منذرين,يستمعون,ويجركم,ولوا,نفرا,51,51,42,
449,ويبيت,الصالح,ففعلت,باخيه,سلاحك,المال,وثيابك,فوجدته,العاص,رغبه,51,50,37,
450,واشركه,اشدد,ازري,واجعل,وزيرا,نسبحك,ونذكرك,اهلي,امري,يفقهوا,51,50,44,
451,مدمن,الغوطه,وقاطع,سقاه,ومصدق,نهر,خمر,الخمر,بالسحر,للخمر,50,48,41,
452,وارث,عليك,صفوه,كليم,خليل,البار,يا,ونهيت,باقر,السلام,50,43,11,
453,قم,مسسه,الطبعه,النجف,تحقيق,للشيخ,منشورات,السيد,بيروت,بالاوفست,50,45,30,
454,امنوا,يتكم,برسوله,كفلين,وامنوا,اتقوا,بمحمد,ايها,رحمته,لايمانكم,50,50,33,
455,فتطاولنا,ويحبه,لاعطين,فبصق,مغازيه,ارمد,ورسوله,والصبيان,ادعوا,الرايه,50,48,46,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
456,بالافراد,ولابي,بالجمع,ذر,وبه,الحا,بضم,بكسر,وللاصيلي,ولابوي,50,49,4,
457,القوا,نكون,تلقي,يخيل,استعلي,حبالهم,وعصيهم,سحرهم,القي,تسعي,50,48,32,
458,المزر,البتع,العسل,شراب,شرابا,الشعير,الذره,ينبذ,يشتد,مسكر,50,44,35,
459,متبعه,ادلي,محكمه,نفاذ,فريضه,وسنه,فافهم,القضا,ومجلسك,ينفع,50,49,40,
460,يداريه,قارون,فاستكثره,فصالحه,للقرابه,السرير,فحسبه,يذي,وبداره,المذبح,50,48,38,
461,عيالهم,ارملوا,اقتسموه,جمعوا,الغزو,الاشعريين,طعام,ثوب,عندهم,بالسويه,49,47,46,
462,وانزل,رمضان,خلت,الزبور,وانزلت,مضين,صحف,ليال,لاربع,انزلت,49,44,38,
463,مب,غا,شنبوذ,زروان,حبش,فرح,الاخفش,حمدون,ضابط,خالويه,49,47,6,
464,حليهم,اتخذوه,يجزون,يهديهم,ظالمين,سبيلا,واتخذ,يكلمهم,جسدا,خوار,49,48,47,
465,ساتيكم,بشهاب,انست,قبس,لاهله,لتلقي,اتيكم,تصطلون,نارا,بخبر,49,45,46,
466,وعنه,وخلق,وجماعه,والنساي,واخرون,الوفاه,حاتم,وابن,والترمذي,نزيل,49,48,12,
467,الركبان,يبيعوه,نبيعه,اشتروه,فنهانا,فيبعث,يمنعهم,فنشتري,الطعام,يشترون,49,47,27,
468,النشوار,حاشيه,القصه,ترجمته,التنوخي,المحسن,راجع,المرزباني,الكاتب,المعروف,49,45,1,
469,ووهبنا,واذكر,رحمتنا,وناديناه,وقربناه,مخلصا,نجيا,نبيا,الايمن,جانب,49,47,45,
470,نعمتك,زوال,اعوذ,عافيتك,وتحول,بك,وفجاه,دعا,بكير,اللهم,49,47,46,
471,نمتم,احترق,فاطفوها,بشانهم,تنامون,تتركوا,عدو,فحدث,عنكم,اهله,49,46,46,Isnad - Abu Musa - shared matn about fire in Madina
472,فعفونا,بظلمهم,مبينا,اتخذوا,سلطانا,جاتهم,ارنا,البينات,فاخذتهم,تنزل,49,47,47,
473,جراده,هبه,العديم,خويلد,غانم,الحلبي,كمال,زهير,الحنفي,العقيلي,49,49,27,
474,نارا,امكثوا,جذوه,انست,اتيكم,باهله,لاهله,تصطلون,الاجل,بخبر,48,47,42,
475,واستيقنتها,وعلوا,وجحدوا,بصار,ظلما,انفسهم,والارض,السماوات,علمت,يهديهم,48,45,32,
476,معن,الموطا,والترمذي,القعنبي,قتيبه,والبخاري,والنساي,ومسلم,مسلمه,الكبري,48,40,2,
477,العبدوسي,سيدي,وسل,معطي,الاحباس,التوفيق,لطف,نصه,بمنه,وفقه,48,47,14,
478,اقرت,بالبر,ايكم,والزكاه,فارم,حطان,القال,القوم,الرقاشي,قلتها,48,45,44,
479,اخرجنا,ونفسه,فاراه,نفخ,ابونا,فيك,ادم,ارنا,روحه,انت,48,45,41,Hadith - interaction between Adam and Moses - proofs - variant
480,ظلمت,الخاسرين,فاغفر,تغفر,وقولوا,ظلمنا,وترحمني,انفسنا,وترحمنا,سبحانك,48,47,38,
481,جذعه,وثلاثون,العمد,حقه,عامها,بازل,ثلاثون,واربعون,المغلظه,خلفه,48,43,37,
482,واطيبهما,اكثرهما,فقدمت,الاجلين,قضي,حبر,الحيره,سالني,اقدم,فاساله,47,46,39,
483,الطب,معجزته,السحر,زمانه,زمان,للسحر,معجزه,عجزهم,غالبا,زمن,47,46,38,
484,ياتمرون,ليقتلوك,الناصحين,يسعي,الملا,فاخرج,اقصي,نجني,خافا,وجا,47,46,42,
485,مخلوق,كافر,يكلم,يستتاب,زعم,عنقه,المريسي,ضربت,تاب,وينقص,47,43,29,
486,موضعان,قلعه,للسن,يتسب,مواضع,تواحي,كوره,فرب,نواحي,فري,47,45,13,
487,اسمعت,اباك,ساعه,شان,سمعته,الجمعه,مخرمه,يقللها,يحدث,يزهدها,47,44,43,
488,مشمر,للجنه,خطر,يتلالا,ورب,المعافري,مهاجر,الكعبه,كريب,وريحانه,47,42,35,
489,مجوفه,ميلا,للممن,ستون,طولها,اهلون,لخيمه,خيمه,يطوف,زاويه,47,45,33,
490,نقيبا,النقبا,الكنعانيون,سبط,ناصركم,كفيلا,بالوفا,كتبتها,اريحا,يسكنها,47,43,39,
491,الثقات,خلفون,وذكره,حبان,عس,المزي,صحيحه,حديثه,شاهين,للجنازه,47,44,13,
492,ويطريه,اهلكتم,قطعتم,يثني,المدحه,ظهر,المدح,صباح,مدحه,الصباح,47,46,37,
493,قنوت,واقد,تنافس,الداري,توبه,الاخنس,الهيثم,بالصدقه,بينكم,مره,47,46,28,
494,تذونني,زاغوا,ازاغ,تعلمون,اليكم,مرصوص,لقومه,الصف,واذ,المرصوص,46,43,44,
495,اخضلوا,اساقفته,كهيعص,وبكت,النجاشي,اخضل,مصاحفهم,ليخرج,مشكاه,اسلمهم,46,45,40,
496,تماما,احسن,المحسنين,للكرامه,احسنوا,احسنه,للنعمه,والشراع,اتماما,احسان,46,43,36,
497,تسالوهم,امتهوكون,يتبعني,فيخبروكم,جتكم,نقيه,فتكذبوا,بباطل,فتصدقوا,نفسي,46,44,34,
498,الفروي,فليح,الاموي,بدرا,شهد,وحدثني,فيمن,الدخشم,انسه,الزهري,46,46,8,
499,وسلفا,فرطا,نبيها,يديها,فجعله,هلكه,قبلها,قبض,عذبها,ونبيها,46,43,41,
500,جفن,ظلال,رث,السيوف,سيفه,بسيفه,الهيه,العدو,فالقاه,كسر,46,45,38,
501,حييا,ستيرا,فاذاه,جلده,بجلده,التستر,استحيا,اذاه,عيب,برص,46,45,44,
502,اجلال,وحامل,الشيبه,اكرام,الغالي,واكرام,المقسط,الجافي,ذي,والجافي,46,46,42,
503,معين,وعنه,وجماعه,وثقه,واخرون,زرعه,وهشام,الرهاوي,الثقات,النساي,46,46,13,
504,مناه,الخزرج,ثعلبه,كنانه,غنم,عتواره,جشم,القيس,الهاد,افصي,45,45,11,
505,صعقه,نفخه,تنشق,النفخه,الصعقه,استثني,الصعق,بصعقه,صعق,الحاله,45,41,25,
506,الجعابي,الشقي,الرحمان,نباته,خدنا,المنصوري,الفحام,فرات,نقبا,املاا,45,42,20,
507,ناصحون,ظرا,ثديها,واطلبيه,تسمعين,اشفقت,وعدها,لاخته,فبصرت,فاحزنها,45,44,37,
508,واخرهم,واربعه,واول,ونبيك,بالقلم,وشيث,صحيفه,ونوح,وشعيب,سريانيون,45,42,43,
509,الجعفريه,الاشعث,صلع,جده,الكتب,الكوفي,صلعم,صلوات,روايه,ففي,45,41,2,
510,فعتب,خطيبا,بمجمع,فسل,يرد,البحرين,عبدا,اعلم,فاوحي,قام,45,45,38,
511,الحوت,انسانيه,اوينا,اذكره,نسيت,الصخره,فارتدا,ارايت,قصصا,اثارهما,45,43,30,
512,والانجيل,مصدقا,للتوراه,التوراه,تفسيران,الانجيل,شريعه,مصدق,ينير,بالاولين,45,45,27,
513,النصاري,وكفروا,بعيسي,ويريدون,ورسله,وكفر,وقالت,اليهود,والانجيل,يفرقوا,45,41,40,
514,متروك,الوجيهي,رواه,فلايشهدها,يتابع,فامسكوا,واورده,منكر,والوجيهي,يرويه,45,44,3,
515,المفصل,بقصار,بطوال,باوساط,اقرا,المغرب,بوسط,والظهر,الصبح,والعشا,45,40,31,
516,وماه,ويكني,جزي,بوصير,خلافه,مات,زبان,الوقعه,متقني,وتوفي,45,44,23,
517,الحفيا,ثنيه,الوداع,الخيل,امدها,اميال,زريق,فارسلها,سابق,المضمره,45,44,35,
518,النضير,فاجلي,وقريظه,حاربوا,قريظه,واقر,حاربت,يهود,رجالهم,واولادهم,44,41,34,
519,الزهور,اللامع,وبداع,السلوك,الضو,والضو,الغمر,بداع,المخطوط,الزاهره,44,43,10,
520,تفسد,الشفيع,والاسنان,صلاته,لقمان,واجبه,تلاها,تزوجت,سجده,لاطلاق,44,44,17,
521,حاملي,سيرنا,الفرمان,يشافهاهم,وعازمون,تقدمنا,والات,خواجا,المجانيق,حملناهما,44,41,27,
522,زاهر,وجيه,الشحامي,الشرقي,طاهر,الحربي,زكريا,مكي,واخبرنا,البحيري,44,43,6,
523,بالعيشي,وبابن,التيمي,خمارويه,مولاهم,التهذيب,تهذيب,بالفسوي,للروايات,الاموي,44,37,26,
524,الاستخراج,صحيحه,تخريجه,فواد,زواد,السابق,الالتقا,وطريق,عوانه,وتقدم,44,25,6,
525,الجودي,عاشورا,استوت,اليوم,صاموا,باناس,نجي,وغرق,شكرا,تاب,44,41,38,Hadith - Jews fasting on Ashura b/c of Moses and drowning the Pharoah - fasting to thank God
526,صحاف,صحيفه,وانزل,واربعه,شيث,والزبور,اخنوخ,المسلط,والفرقان,المغرور,44,43,38,
527,ربكما,وتولي,يضل,ينسي,علمها,القرون,اتبع,جناك,بال,خلقه,44,42,38,
528,فاران,ساعير,جبال,سينا,واستعلن,واشرق,انزاله,طور,وفاران,واشراقه,44,42,37,
529,فدمرناهم,كذبوا,تدميرا,اذهبا,اغرقناهم,واعتدنا,اليما,وجعلنا,للظالمين,وزيرا,43,42,39,
530,تحملين,بيمينك,طليق,بلغته,لعباد,عدس,اماره,الفعل,نمنه,زيدا,43,43,30,
531,الشيروي,الاصم,الصيرفي,شاذان,الغفار,الشيرويي,باصبهان,بنيسابور,بقراتي,المنعم,43,38,30,
532,عادا,اعادا,جت,زارا,شامتا,عاد,يعود,ثوير,مريضا,شاكيا,43,37,33,
533,صليت,فصليت,اتدري,حافرها,طرفها,ركبنا,فنزلت,اين,ارضا,تهوي,43,42,35,
534,انعمت,المغضوب,يغيروا,والشهدا,صراط,فامن,واستكبرتم,هم,والصديقين,الشاهد,43,40,34,
535,جيبه,فعادت,بيضا,فاها,برص,قاصده,مسرعه,لونها,يكفها,واستغاث,43,42,37,
536,ويقاتل,شجاعه,حميه,يقاتل,لتكون,ريا,فاي,قاتل,سبيل,العليا,43,41,33,
537,فغسل,الانا,وادبر,افرغ,ادخل,شماله,المرفقين,مرتين,مضمض,غسل,43,42,21,
538,والميت,الحي,يذكر,ويده,ويلقي,الهرج,يتقارب,والبيت,الشح,خدمت,43,43,36,
539,الاسما,وغيره,تقدم,بخ,اسمه,روي,الجماعه,مق,الثقات,والنساي,43,41,5,
540,سلت,المراتين,فقل,الاجلين,خيرهما,الصغري,وابرهما,تزوج,اوفاهما,استاجره,43,41,35,
541,فيعتق,نصيبه,عتقه,شركا,اعتق,عتق,يفتي,العبد,الشركا,وجب,43,42,30,
542,شاطرا,وسرخس,الجدران,يان,عشق,ابيورد,تاليا,يرتقي,يتلو,توبته,43,42,25,
543,يتذاكرون,كلامكم,باعجب,فعيسي,وعجبكم,سمعهم,خليلا,اصطفاه,اتخذ,وروحه,43,42,39,
544,الصابر,كالقابض,انبا,شاكر,فاذك,دينه,زمان,المحبوبي,الجراحي,رضه,43,38,33,
545,المغازلي,مناقب,ذخار,العقبي,بالاسناد,الكتب,السمطين,الغابه,العمال,بعين,43,41,24,
546,سياره,المتعي,نحلا,اد,جبلها,فحماها,احمها,احم,العشر,العسل,43,41,41,
547,قحافه,ادركوا,وابناهم,عتيق,وابنه,اربعه,الاربعه,نعلم,الصديق,هلا,43,42,35,
548,تهود,دابتي,نريده,فاسلم,يهوديا,شهرين,استتيب,معاذ,ارتد,اجلس,43,41,35,
549,واتممناها,وواعدنا,فتم,اخلفني,واصلح,ميقات,تتبع,بعشر,المفسدين,لاخيه,43,43,40,
550,لضللتم,وبالاسلام,حظكم,وتركتموني,وبمحمد,حظي,اتبعتموه,فسري,ربا,دينا,43,39,31,
551,دراسه,تبين,اسناد,لجهاله,الاسناد,بهذا,ضعيف,حال,يتبين,والحديث,43,41,3,
552,امثالها,اعطانا,فتركوه,فليخفف,راودت,وسعديك,حسنه,خفف,يبدل,خمسون,43,42,39,
553,فلناتينك,لتخرجنا,بسحرك,نخلفه,اجتنا,ارضنا,بسحر,موعدا,اريناه,فاجعل,42,39,35,
554,فداك,عصوان,دفع,بيهودي,الملل,يدفع,القيامه,نصراني,فيقال,النار,42,39,34,
555,توكلوا,كنتم,المسرفين,امنتم,لعال,مسلمين,فعليه,توكلنا,تجعلنا,للقوم,42,41,41,
556,المامون,يستعلم,حلوان,المهدي,بضمانه,فيديها,فقنعوا,ويامره,بادخالهم,ويحذرونه,42,40,22,
557,فقليل,بالتسبيح,فهبطوا,والتقديس,ملاكه,فاعترضوا,اهبطوا,وراسهم,اصبر,بكاه,42,31,21,
558,عدول,مجربا,مجلودا,ظنينا,زور,شهاده,المسلمون,حد,قرابه,والمسلمون,42,38,35,
559,صرحا,الطين,فاوقد,فاجعل,اطلع,هامان,لاظنه,الكاذبين,قصرا,لعلي,42,42,37,
560,بتمره,فسماه,ودفعه,بالبركه,فحنكه,فاتيت,غلام,وحنكه,ودعا,وتحنيكه,42,42,36,
561,سواد,الافق,عظيم,والنبي,والرجلان,فنظرت,فقيل,ومعهم,فظننت,عرضت,42,40,38,
562,يرتجزون,الاشعريون,وحزبه,الاحبه,نلقي,ارق,يقدم,غدا,فقدم,دنوا,42,39,34,
563,غشيهم,فاتبعوهم,مشرقين,لمدركون,الجمعان,فاتبعهم,فغشيهم,تراي,وقومه,بجنوده,42,42,31,
564,للاعدل,اصداغ,زلزل,تزلزل,يك,القرون,رمس,تقيم,سعودها,لاشناق,42,41,32,
565,قلصت,نستعمل,انفسهما,سواكه,شفته,يطلبان,عملنا,شعرت,وساده,موثق,42,39,35,
566,فكبروا,صفوفكم,كبر,فقولوا,فاقيموا,ليمكم,صليتم,المغضوب,الضالين,امين,42,41,39,
567,حزم,بعشور,الديه,المواضح,جده,جبار,الصدقات,متعان,حمزه,زكاه,42,38,21,
568,الوفاه,وعنه,وثقه,واخرون,المدني,ولينه,ويحيي,والقعنبي,وعبيد,البصري,42,40,3,
569,باخراجه,الماتين,انفرد,والتسعون,الماه,والسبعون,والثلاثون,والستون,يريبك,الثامن,42,41,4,
570,يبتغ,والنبيون,افغير,يبغون,وكرها,نفرق,الخاسرين,مسلمون,والاسباط,طوعا,41,41,39,
571,بصاحب,لست,اعمدوا,اذهبوا,فياتون,ابيكم,فيقول,وروحه,ورا,اخرجكم,41,41,36,
572,الهي,جزا,عرشي,كالزوج,خلقي,للارمله,ظل,كالاب,فما,تدان,41,31,23,
573,بجوذابه,والسماحه,الاوزه,جوذابها,اختبرتهم,عصرك,والبلاغه,مستمعه,الشجاعه,اوليه,41,40,32,
574,الخويصره,تقدم,زهدم,امشطي,واعتمرنا,سليط,واخي,بزنادقه,فاحرقهم,اعرف,41,38,17,
575,امتهوكون,تهوكت,جتكم,نقيه,تعجبنا,اتباعي,نكتب,وسعه,حيا,نسمع,41,40,37,
576,احملكم,استحمله,رهط,الاشعريين,لبثنا,فلبثنا,نستحمله,اتيت,غيلان,عندي,41,39,35,
577,وصلها,وصله,الملف,ومتابعه,وروايه,وحديث,ووقعت,متابعه,بعلو,المستخرج,41,31,2,
578,ومسند,مسندا,كمسند,المسانيد,وصنف,فصنف,صنف,اقتفي,الطيالسي,والركون,41,32,33,
579,غام,خليل,العثماني,شعبان,نجم,المنعم,فارس,غانم,الوارث,عشبان,41,41,25,
580,يعدل,كالصرف,فتغير,اوذي,فصبر,باكثر,لاخبرن,فاتيته,فاخبرته,يرحم,41,38,34,Hadith - Moses suffered more than that but he was patient
581,الماوردي,خياط,السيرافي,غالب,خليفه,النهاوندي,جنيقا,زكريا,الخطبي,الابنوسي,41,41,4,
582,تزنوا,تشركوا,تقتلوا,تسرقوا,تسحروا,تمشوا,فسالاه,تقل,ببري,بينات,41,40,39,
583,يغل,وماتي,درهم,اغتيل,الف,واف,ويغل,الفي,غلته,ترك,41,40,26,
584,الكيميا,ثلثه,فخدعهما,قصيه,فبصرت,قارون,لاخته,علمهما,المراضع,يشعرون,41,39,30,
585,طبرزذ,الحداد,القطيعي,البنا,الصيدلاني,الجمال,اخبرنا,مكي,الجوهري,هوذه,41,40,12,
586,اغويت,تحاج,واخرجتهم,واصطفاه,برسالته,ادم,واصطفاك,فحج,اعطاك,اعطاه,41,37,35,Hadith - interaction between Adam and Moses - proofs
587,يغضب,اذهبوا,نفسي,تري,بلغنا,غضبا,وبتكليمه,كذباته,اشفع,فضلك,41,40,40,
588,واتممناها,وواعدنا,فتم,بعشر,ميقات,ثلاثين,كامله,ليله,فصيام,رجعتم,41,40,36,
589,لعب,بالنرد,بالنردشير,فكانما,عصي,خنزير,ودمه,صبغ,النرد,ورسوله,41,40,40,
590,الولدان,تسالني,وكتبت,نجده,تقتلهم,يقتلهم,الحروري,قتل,اليتم,يحذيا,41,39,34,
591,باركم,انفسكم,باتخاذكم,فتوبوا,ظلمتم,فاقتلوا,التواب,فتاب,ذلكم,انكم,41,38,39,
592,يضيفونا,فاقامه,يطعمونا,استطعما,يضيفوهما,جدارا,فابوا,لدني,اتيناهم,عذرا,40,40,38,
593,واعجبتني,برضي,اعلمها,اسخط,حلقا,خروجا,بدرهم,فاحسن,ومنشطكم,افرضها,40,36,33,
594,كتما,خانا,شهادتهما,العصر,فاحلفهما,وصيته,نصرانيان,بدقوقا,تحبسونهما,فيقسمان,40,39,34,
