Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
20,246,الخليفة,الباب,فاذا,الوزير,4,85,3.0,,3.0,78.0,1.0,
283,23,الخيش,داري,قنينة,واقفلت,1,13,13.0,,,,,
352,17,الدراهم,دراهم,الييض,الدرهم,2,9,1.0,,,,,8.0
288,22,الذراع,ناولني,فناولته,للشاة,1,7,,7.0,,,,
213,29,الراية,لاعطين,ورسوله,عينيه,1,12,,12.0,,,,
265,24,الرجم,التوراة,زنا,احصن,1,10,,10.0,,,,
512,10,الرحم,نواءب,تضربون,افينظر,1,8,,8.0,,,,
389,15,الرحمن,عبد,السعدي,هبة,1,6,6.0,,,,,
60,104,الرحمن,عبد,عبيد,بن,1,17,,17.0,,,,
305,21,الركين,الرحمن,الطفاوي,علي,1,4,,4.0,,,,
292,22,الزجاج,المبرد,اخرط,مسالة,1,8,8.0,,,,,
225,28,الزهري,شهاب,وعن,حرفا,2,11,10.0,1.0,,,,
210,30,السبكي,القضاة,مجلس,اجدادهم,3,25,9.0,,,1.0,15.0,
239,27,السجل,الخليفة,المامون,لزمام,4,13,2.0,,2.0,8.0,1.0,
422,14,السراق,وشناعها,تجمعه,واستهلكوا,3,8,,,,2.0,4.0,2.0
497,11,السعدوني,توفي,القنتوري,الصيداوي,1,11,11.0,,,,,
148,48,السفر,اللهم,لربنا,الاهل,1,18,,18.0,,,,
524,10,السفن,القلزم,خليج,حفره,1,5,,,,5.0,,
6,751,السلطان,الامراء,القلعة,بيبرس,4,390,78.0,,6.0,17.0,305.0,
337,19,السلف,دنانير,دينارا,قصبة,1,5,,,,5.0,,
366,16,السماء,الشهب,ومغاربها,مشارق,2,10,,9.0,,1.0,,
113,64,السندروس,فامر,يتبرا,يقدر,5,42,12.0,,4.0,17.0,8.0,1.0
323,20,السوق,يباع,السكر,موسم,1,8,,,,8.0,,
204,31,السيفي,بغا,واقبغا,ومحمد,1,14,,,,,14.0,
228,28,السيفي,واقبغا,والطنبغا,وارغون,2,19,,,,1.0,18.0,
18,296,الشافعي,حنبل,وعن,سمعت,3,100,95.0,3.0,,3.0,,
286,23,الشلوبين,فاضلا,وحدث,ثقة,1,19,19.0,,,,,
502,11,الشمس,الشعاع,القمر,الهواء,3,4,1.0,1.0,,2.0,,
101,71,الشهر,اوله,وفي,شهر,3,59,,,4.0,,54.0,1.0
303,21,الشهور,وربيع,وجمادي,النسء,2,7,,1.0,,6.0,,
342,18,الصدقة,تمرة,لاكلتها,كخ,1,5,,5.0,,,,
48,126,الصلاة,التشهد,وجوب,الوجوب,1,39,,39.0,,,,
72,93,الصلاة,المشبه,الرحمة,التشبيه,2,34,,33.0,1.0,,,
221,28,الصلح,البادراءي,للملك,الصالح,3,22,4.0,,,2.0,16.0,
2,2535,الطويل,شعره,الكامل,البسيط,6,880,662.0,77.0,23.0,117.0,37.0,7.0
290,22,الظافر,عباس,نصر,السلار,3,12,4.0,,5.0,3.0,,
46,127,العادل,زنكي,ايوب,وفيها,4,79,10.0,,3.0,7.0,60.0,
554,10,العاضد,مطاعن,نمي,الشريف,3,9,4.0,,1.0,,4.0,
169,41,العبد,المريد,علامة,الاسباب,3,12,10.0,1.0,,1.0,,
99,72,العبيد,الاتراك,المستنصر,حمدان,4,38,12.0,,8.0,8.0,10.0,
403,14,العريف,ارطال,الصعلوك,بدرهم,3,4,1.0,,1.0,,,2.0
