Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
292,21,جبريل,ويقتدي,جامعة,ويءم,1,2,21.0,,,,,
277,21,جرافة,تقادما,بستماءة,وقاس,3,19,,1.0,,6.0,14.0,
524,12,جرجس,جرمك,جرجي,مينا,2,7,,8.0,,,,4.0
250,24,جزاءر,فنحر,بالجحفة,اصبحوا,2,19,23.0,1.0,,,,
506,13,جزافا,يبيعوه,رحالهم,يضربون,1,4,13.0,,,,,
465,14,جند,الملاءكة,وميكاءيل,ميمنة,1,8,14.0,,,,,
552,11,جواءز,دوابها,ولكل,وخمسون,3,10,,3.0,,1.0,7.0,
158,38,جودي,وقالت,المصطفي,واندبي,2,11,37.0,1.0,,,,
281,21,جويرية,المصطلق,قومها,اصهار,1,15,21.0,,,,,
343,18,حاجبا,بهادر,تنكز,واصله,3,18,,6.0,,2.0,10.0,
434,15,حجير,بابيه,ليقتله,فريضة,1,12,15.0,,,,,
234,26,حدثتني,جدتي,يقلب,عبيط,3,7,13.0,10.0,,3.0,,
490,13,حدثنا,الاسناد,بالتامين,وتهليل,2,13,12.0,1.0,,,,
98,63,حدثنا,الهجيمي,المسحاة,حديث,2,56,62.0,1.0,,,,
88,75,حدثنا,تبارك,وتعالي,الصلاة,1,42,75.0,,,,,
197,30,حدثنا,تبارك,وتعالي,حديث,1,28,30.0,,,,,
58,125,حدثنا,حديث,طريق,عن,2,113,123.0,,,2.0,,
89,74,حدثنا,حديث,عن,اخبرنا,1,66,74.0,,,,,
16,444,حدثنا,حديث,عن,وخرجه,3,329,428.0,12.0,,4.0,,
96,66,حدثني,حدثنا,عن,اخبرني,2,62,65.0,1.0,,,,
80,82,حديث,حدثنا,وخرجه,طريق,2,71,81.0,1.0,,,,
598,10,حديثا,تظلني,تقلني,رويت,2,3,1.0,9.0,,,,
505,13,حراما,يحسنهما,محرما,واشبههما,1,11,13.0,,,,,
293,21,حرف,الايويي,وكي,الوحشي,2,9,,10.0,,,,11.0
544,12,حرف,حرفالعين,الزاي,الفاء,1,2,,,,,,12.0
264,22,حريرة,صورة,بابا,اتعرفون,3,5,20.0,,1.0,1.0,,
612,10,حشما,ابحرت,بقيسرية,حظوته,3,10,,4.0,,2.0,4.0,
546,12,حصون,ايدي,فاشترط,فاجاب,2,3,,5.0,7.0,,,
161,37,حكيما,انزل,القران,احرف,1,22,37.0,,,,,
51,144,حلب,عسكر,ناءب,دمشق,4,118,,19.0,2.0,2.0,121.0,
243,25,حمده,الحامدين,حمد,الحمد,1,8,25.0,,,,,
448,14,حيدة,حدثني,الزهري,كعب,1,13,14.0,,,,,
604,10,خاءنة,الاتفاقية,الكلام,الاعين,2,10,9.0,,,1.0,,
95,66,خاتما,فصه,فضة,اتخذ,1,15,66.0,,,,,
391,16,خالد,خباب,زياد,صفوان,1,4,16.0,,,,,
541,12,خالد,هريم,المعافري,الساءب,2,7,4.0,8.0,,,,
157,38,خطة,تاخذ,لخم,الخطة,1,12,,,,38.0,,
171,35,خلع,واستقر,ولاية,عوضا,3,30,,1.0,,1.0,33.0,
134,44,خليج,الاعظم,وينتهي,الخليج,2,21,,,,41.0,3.0,
584,11,خولا,دغلا,اتخذوا,دولا,1,3,11.0,,,,,
340,18,خيول,مهنا,وانسابها,العرب,3,6,,1.0,,8.0,9.0,
392,16,دباء,الدباء,ومرقا,يلعبان,1,11,16.0,,,,,
99,63,درجة,الاقليم,ساعة,القطب,1,17,,,,63.0,,
10,813,درهما,دراهم,الفلوس,الاردب,6,290,2.0,9.0,43.0,21.0,557.0,181.0
339,18,دعوتي,شفاعة,لامتي,دعوة,1,6,18.0,,,,,
33,242,دير,كنيسة,الدير,وكنيسة,3,41,,2.0,,237.0,3.0,
615,10,دينار,ولكل,امراء,ولمن,3,9,,,2.0,2.0,6.0,
194,31,دينارا,رسوم,ماءتان,دينار,1,3,,,,31.0,,
249,24,دينارا,ولكل,دنانير,يجتاز,3,5,,3.0,9.0,12.0,,
