Topic,0179MalikIbnAnas.Muwatta,0150AbuHanifa.Musnad,0204Shafici.Musnad,0256Bukhari.Sahih,0241IbnHanbal.Musnad,0261Muslim.Sahih
2195,0,0,0,0,0,1
2197,0,0,0,1,0,0
2200,0,0,0,0,1,0
2201,0,0,0,1,0,0
2202,0,0,0,1,0,0
2203,0,0,0,1,0,0
2206,0,0,0,0,1,0
2209,0,0,0,0,1,0
2210,0,0,0,1,0,0
2214,0,0,0,1,0,0
2216,0,0,0,1,0,0
2218,0,0,0,1,1,0
2219,0,0,0,0,1,0
2220,0,0,0,1,0,0
2226,0,0,0,1,0,0
2227,0,0,0,1,0,0
2229,0,0,0,1,0,0
2235,0,0,0,0,0,5
2241,0,0,0,1,0,0
2243,0,0,0,1,0,0
2248,0,0,0,1,0,0
2250,0,0,0,0,1,0
2253,0,0,0,0,1,1
2254,0,0,0,0,1,0
2256,0,0,0,1,0,0
2261,0,0,0,0,1,0
2264,0,0,0,1,0,0
2265,0,0,0,1,0,0
2267,0,0,0,0,1,0
2272,0,0,0,1,0,0
2275,0,0,0,1,0,1
2279,0,0,0,1,0,0
2280,0,0,0,0,1,0
2281,0,0,0,1,0,0
2284,0,0,0,1,0,0
2290,0,0,0,1,0,0
2291,0,0,0,1,0,0
2294,0,0,0,1,0,0
2296,0,0,0,1,0,0
2307,0,0,0,1,0,0
2311,0,0,0,1,0,0
2314,0,0,0,1,0,0
2315,0,0,0,1,0,0
2316,0,0,0,1,0,0
2324,0,0,0,0,1,0
2331,0,0,0,1,0,0
2335,0,0,0,1,0,0
2344,0,0,0,1,0,0
2349,0,0,0,1,0,0
2354,0,0,0,1,0,0
2356,0,0,0,1,0,0
2357,0,0,0,1,0,0
2363,0,0,0,1,0,0
2364,0,0,0,1,0,0
2367,0,0,0,0,1,0
2369,0,0,0,1,0,0
2370,0,0,0,0,1,0
2374,0,0,0,1,0,0
2379,0,0,0,0,1,0
2380,0,0,0,1,0,0
2385,0,0,0,1,0,0
2390,0,0,0,0,2,0
2393,0,0,0,1,0,0
2395,0,0,0,1,0,0
2403,0,0,0,1,0,0
2406,0,0,0,0,1,0
2409,0,0,0,1,0,0
2412,0,0,0,1,0,0
2420,0,0,0,0,1,0
2422,0,0,0,1,0,0
2426,0,0,1,0,0,0
2427,0,0,0,1,0,0
2438,0,0,0,1,0,0
2448,0,0,0,1,0,0
2450,0,0,0,1,0,0
2452,0,0,0,1,0,0
2453,0,0,0,1,0,0
2454,0,0,0,1,0,0
2455,0,0,0,1,0,0
2459,0,0,0,1,0,0
2462,0,0,0,0,0,1
2463,0,0,0,1,0,0
2464,0,0,0,1,0,0
2465,0,0,0,1,0,0
2468,0,0,0,1,0,0
2469,0,0,0,1,0,0
2474,0,0,0,0,0,1
2475,0,0,0,0,0,1
2478,0,0,0,1,0,0
2480,0,0,0,0,1,0
2483,0,0,0,1,0,0
2489,0,0,0,1,0,0
2491,0,0,0,1,0,0
2492,0,0,0,1,0,0
2505,0,0,0,1,0,0
2506,0,0,0,1,0,0
2510,0,0,0,1,0,0
2512,0,0,0,1,0,0
2516,0,0,0,1,0,0
2518,0,0,0,1,0,0
2531,0,0,0,1,0,0
2536,0,0,0,1,0,0
2588,0,0,0,1,0,0
2590,0,0,0,1,0,0
2600,0,0,0,0,1,0
2603,0,0,0,1,0,0
2620,0,0,0,0,1,0
